Region,WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities, Lack of Adaptive Capacities,year,Continent,,,Region_1,year_1,Attribute,Value
,,,,,,,,,,,Papua New Guinea,2012,Exposure,24.94
,,,,,,,,,,,Papua New Guinea,2012,Vulnerability,63.38
,,,,,,,,,,,Papua New Guinea,2012,Susceptibility,49.03
,,,,,,,,,,,Papua New Guinea,2012,Lack of Coping Capabilities,84.85
,,,,,,,,,,,Papua New Guinea,2012,Lack of Adaptive Capacities,56.27
,,,,,,,,,,,Mauritius,2012,WRI,15.39
,,,,,,,,,,,Mauritius,2012,Exposure,37.35
,,,,,,,,,,,Mauritius,2012,Vulnerability,41.21
,,,,,,,,,,,Mauritius,2012,Susceptibility,18.99
,,,,,,,,,,,Mauritius,2012,Lack of Coping Capabilities,62.04
,,,,,,,,,,,Mauritius,2012,Lack of Adaptive Capacities,42.6
,,,,,,,,,,,Nicaragua,2012,WRI,15.36
,,,,,,,,,,,Nicaragua,2012,Exposure,27.23
,,,,,,,,,,,Nicaragua,2012,Vulnerability,56.43
,,,,,,,,,,,Nicaragua,2012,Susceptibility,38.41
,,,,,,,,,,,Nicaragua,2012,Lack of Coping Capabilities,82.68
,,,,,,,,,,,Nicaragua,2012,Lack of Adaptive Capacities,48.21
,,,,,,,,,,,Fiji,2012,WRI,13.69
,,,,,,,,,,,Fiji,2012,Exposure,27.71
,,,,,,,,,,,Fiji,2012,Vulnerability,49.4
,,,,,,,,,,,Fiji,2012,Susceptibility,26.19
,,,,,,,,,,,Fiji,2012,Lack of Coping Capabilities,75.32
,,,,,,,,,,,Fiji,2012,Lack of Adaptive Capacities,46.67
,,,,,,,,,,,Japan,2012,WRI,13.53
,,,,,,,,,,,Japan,2012,Exposure,45.91
,,,,,,,,,,,Japan,2012,Vulnerability,29.46
,,,,,,,,,,,Japan,2012,Susceptibility,16.52
,,,,,,,,,,,Japan,2012,Lack of Coping Capabilities,36.31
,,,,,,,,,,,Japan,2012,Lack of Adaptive Capacities,35.56
,,,,,,,,,,,Guinea-Bissau,2012,WRI,13.34
,,,,,,,,,,,Guinea-Bissau,2012,Exposure,19.65
,,,,,,,,,,,Guinea-Bissau,2012,Vulnerability,67.88
,,,,,,,,,,,Guinea-Bissau,2012,Susceptibility,55.49
,,,,,,,,,,,Guinea-Bissau,2012,Lack of Coping Capabilities,88.48
,,,,,,,,,,,Guinea-Bissau,2012,Lack of Adaptive Capacities,59.68
,,,,,,,,,,,Vietnam,2012,WRI,12.88
,,,,,,,,,,,Vietnam,2012,Exposure,25.35
,,,,,,,,,,,Vietnam,2012,Vulnerability,50.83
,,,,,,,,,,,Vietnam,2012,Susceptibility,29.2
,,,,,,,,,,,Vietnam,2012,Lack of Coping Capabilities,76.73
,,,,,,,,,,,Vietnam,2012,Lack of Adaptive Capacities,46.56
,,,,,,,,,,,Chile,2012,WRI,12.26
,,,,,,,,,,,Chile,2012,Exposure,30.95
,,,,,,,,,,,Chile,2012,Vulnerability,39.6
,,,,,,,,,,,Chile,2012,Susceptibility,20.95
,,,,,,,,,,,Chile,2012,Lack of Coping Capabilities,57.84
,,,,,,,,,,,Chile,2012,Lack of Adaptive Capacities,40.01
,,,,,,,,,,,Jamaica,2012,WRI,12.15
,,,,,,,,,,,Jamaica,2012,Exposure,25.82
,,,,,,,,,,,Jamaica,2012,Vulnerability,47.06
,,,,,,,,,,,Jamaica,2012,Susceptibility,26.49
,,,,,,,,,,,Jamaica,2012,Lack of Coping Capabilities,72.49
,,,,,,,,,,,Jamaica,2012,Lack of Adaptive Capacities,42.21
,,,,,,,,,,,Haiti,2012,WRI,11.96
,,,,,,,,,,,Haiti,2012,Exposure,16.26
,,,,,,,,,,,Haiti,2012,Vulnerability,73.54
,,,,,,,,,,,Haiti,2012,Susceptibility,62.7
,,,,,,,,,,,Haiti,2012,Lack of Coping Capabilities,90.43
,,,,,,,,,,,Haiti,2012,Lack of Adaptive Capacities,67.48
,,,,,,,,,,,Niger,2012,WRI,11.93
,,,,,,,,,,,Niger,2012,Exposure,15.87
,,,,,,,,,,,Niger,2012,Vulnerability,75.17
,,,,,,,,,,,Niger,2012,Susceptibility,64.87
,,,,,,,,,,,Niger,2012,Lack of Coping Capabilities,88.73
,,,,,,,,,,,Niger,2012,Lack of Adaptive Capacities,71.93
,,,,,,,,,,,Gambia,2012,WRI,11.84
,,,,,,,,,,,Gambia,2012,Exposure,19.29
,,,,,,,,,,,Gambia,2012,Vulnerability,61.41
,,,,,,,,,,,Gambia,2012,Susceptibility,44.4
,,,,,,,,,,,Gambia,2012,Lack of Coping Capabilities,82.19
,,,,,,,,,,,Gambia,2012,Lack of Adaptive Capacities,57.63
,,,,,,,,,,,Guyana,2012,WRI,11.77
,,,,,,,,,,,Guyana,2012,Exposure,22.9
,,,,,,,,,,,Guyana,2012,Vulnerability,51.4
,,,,,,,,,,,Guyana,2012,Susceptibility,29.25
,,,,,,,,,,,Guyana,2012,Lack of Coping Capabilities,79.79
,,,,,,,,,,,Guyana,2012,Lack of Adaptive Capacities,45.16
,,,,,,,,,,,Dominican Rep.,2012,WRI,11.63
,,,,,,,,,,,Dominican Rep.,2012,Exposure,23.14
,,,,,,,,,,,Dominican Rep.,2012,Vulnerability,50.23
,,,,,,,,,,,Dominican Rep.,2012,Susceptibility,30
,,,,,,,,,,,Dominican Rep.,2012,Lack of Coping Capabilities,75.74
,,,,,,,,,,,Dominican Rep.,2012,Lack of Adaptive Capacities,44.96
,,,,,,,,,,,Cameroon,2012,WRI,11.5
,,,,,,,,,,,Cameroon,2012,Exposure,18.19
,,,,,,,,,,,Cameroon,2012,Vulnerability,63.23
,,,,,,,,,,,Cameroon,2012,Susceptibility,45.57
,,,,,,,,,,,Cameroon,2012,Lack of Coping Capabilities,85.1
,,,,,,,,,,,Cameroon,2012,Lack of Adaptive Capacities,59.01
,,,,,,,,,,,Benin,2012,WRI,11.42
,,,,,,,,,,,Benin,2012,Exposure,17.06
,,,,,,,,,,,Benin,2012,Vulnerability,66.93
,,,,,,,,,,,Benin,2012,Susceptibility,53.91
,,,,,,,,,,,Benin,2012,Lack of Coping Capabilities,83.88
,,,,,,,,,,,Benin,2012,Lack of Adaptive Capacities,63
,,,,,,,,,,,Chad,2012,WRI,11.13
,,,,,,,,,,,Chad,2012,Exposure,14.89
,,,,,,,,,,,Chad,2012,Vulnerability,74.74
,,,,,,,,,,,Chad,2012,Susceptibility,64.69
,,,,,,,,,,,Chad,2012,Lack of Coping Capabilities,91.8
,,,,,,,,,,,Chad,2012,Lack of Adaptive Capacities,67.74
,,,,,,,,,,,Senegal,2012,WRI,11.08
,,,,,,,,,,,Senegal,2012,Exposure,17.57
,,,,,,,,,,,Senegal,2012,Vulnerability,63.07
,,,,,,,,,,,Senegal,2012,Susceptibility,46.97
,,,,,,,,,,,Senegal,2012,Lack of Coping Capabilities,82.47
,,,,,,,,,,,Senegal,2012,Lack of Adaptive Capacities,59.76
,,,,,,,,,,,Honduras,2012,WRI,11.02
,,,,,,,,,,,Honduras,2012,Exposure,20.01
,,,,,,,,,,,Honduras,2012,Vulnerability,55.09
,,,,,,,,,,,Honduras,2012,Susceptibility,36.19
,,,,,,,,,,,Honduras,2012,Lack of Coping Capabilities,81.68
,,,,,,,,,,,Honduras,2012,Lack of Adaptive Capacities,47.4
,,,,,,,,,,,Madagascar,2012,WRI,10.96
,,,,,,,,,,,Madagascar,2012,Exposure,16.03
,,,,,,,,,,,Madagascar,2012,Vulnerability,68.37
,,,,,,,,,,,Madagascar,2012,Susceptibility,64.39
,,,,,,,,,,,Madagascar,2012,Lack of Coping Capabilities,83.07
,,,,,,,,,,,Madagascar,2012,Lack of Adaptive Capacities,57.66
,,,,,,,,,,,Cabo Verde,2012,WRI,10.88
,,,,,,,,,,,Cabo Verde,2012,Exposure,20.26
,,,,,,,,,,,Cabo Verde,2012,Vulnerability,53.72
,,,,,,,,,,,Cabo Verde,2012,Susceptibility,36.13
,,,,,,,,,,,Cabo Verde,2012,Lack of Coping Capabilities,70.64
,,,,,,,,,,,Cabo Verde,2012,Lack of Adaptive Capacities,54.39
,,,,,,,,,,,Indonesia,2012,WRI,10.74
,,,,,,,,,,,Indonesia,2012,Exposure,19.36
,,,,,,,,,,,Indonesia,2012,Vulnerability,55.48
,,,,,,,,,,,Indonesia,2012,Susceptibility,35.45
,,,,,,,,,,,Indonesia,2012,Lack of Coping Capabilities,82.16
,,,,,,,,,,,Indonesia,2012,Lack of Adaptive Capacities,48.83
,,,,,,,,,,,Togo,2012,WRI,10.64
,,,,,,,,,,,Togo,2012,Exposure,15.56
,,,,,,,,,,,Togo,2012,Vulnerability,68.39
,,,,,,,,,,,Togo,2012,Susceptibility,56.15
,,,,,,,,,,,Togo,2012,Lack of Coping Capabilities,86.52
,,,,,,,,,,,Togo,2012,Lack of Adaptive Capacities,62.51
,,,,,,,,,,,Sierra Leone,2012,WRI,10.58
,,,,,,,,,,,Sierra Leone,2012,Exposure,14.65
,,,,,,,,,,,Sierra Leone,2012,Vulnerability,72.2
,,,,,,,,,,,Sierra Leone,2012,Susceptibility,62.48
,,,,,,,,,,,Sierra Leone,2012,Lack of Coping Capabilities,87.48
,,,,,,,,,,,Sierra Leone,2012,Lack of Adaptive Capacities,66.64
,,,,,,,,,,,Burundi,2012,WRI,10.49
,,,,,,,,,,,Burundi,2012,Exposure,15.13
,,,,,,,,,,,Burundi,2012,Vulnerability,69.32
,,,,,,,,,,,Burundi,2012,Susceptibility,61.99
,,,,,,,,,,,Burundi,2012,Lack of Coping Capabilities,89.53
,,,,,,,,,,,Burundi,2012,Lack of Adaptive Capacities,56.44
,,,,,,,,,,,Djibouti,2012,WRI,9.96
,,,,,,,,,,,Djibouti,2012,Exposure,16.34
,,,,,,,,,,,Djibouti,2012,Vulnerability,60.98
,,,,,,,,,,,Djibouti,2012,Susceptibility,40.34
,,,,,,,,,,,Djibouti,2012,Lack of Coping Capabilities,82.94
,,,,,,,,,,,Djibouti,2012,Lack of Adaptive Capacities,59.66
,,,,,,,,,,,Albania,2012,WRI,9.96
,,,,,,,,,,,Albania,2012,Exposure,21.25
,,,,,,,,,,,Albania,2012,Vulnerability,46.89
,,,,,,,,,,,Albania,2012,Susceptibility,20.73
,,,,,,,,,,,Albania,2012,Lack of Coping Capabilities,74.67
,,,,,,,,,,,Albania,2012,Lack of Adaptive Capacities,45.26
,,,,,,,,,,,Zimbabwe,2012,WRI,9.87
,,,,,,,,,,,Zimbabwe,2012,Exposure,14.96
,,,,,,,,,,,Zimbabwe,2012,Vulnerability,65.97
,,,,,,,,,,,Zimbabwe,2012,Susceptibility,58.45
,,,,,,,,,,,Zimbabwe,2012,Lack of Coping Capabilities,87.74
,,,,,,,,,,,Zimbabwe,2012,Lack of Adaptive Capacities,51.73
,,,,,,,,,,,Afghanistan,2012,WRI,9.79
,,,,,,,,,,,Afghanistan,2012,Exposure,13.17
,,,,,,,,,,,Afghanistan,2012,Vulnerability,74.32
,,,,,,,,,,,Afghanistan,2012,Susceptibility,56.63
,,,,,,,,,,,Afghanistan,2012,Lack of Coping Capabilities,92.07
,,,,,,,,,,,Afghanistan,2012,Lack of Adaptive Capacities,74.26
,,,,,,,,,,,Burkina Faso,2012,WRI,9.74
,,,,,,,,,,,Burkina Faso,2012,Exposure,14.32
,,,,,,,,,,,Burkina Faso,2012,Vulnerability,68
,,,,,,,,,,,Burkina Faso,2012,Susceptibility,54.81
,,,,,,,,,,,Burkina Faso,2012,Lack of Coping Capabilities,84.86
,,,,,,,,,,,Burkina Faso,2012,Lack of Adaptive Capacities,64.32
,,,,,,,,,,,Myanmar,2012,WRI,9.15
,,,,,,,,,,,Myanmar,2012,Exposure,14.87
,,,,,,,,,,,Myanmar,2012,Vulnerability,61.57
,,,,,,,,,,,Myanmar,2012,Susceptibility,36.7
,,,,,,,,,,,Myanmar,2012,Lack of Coping Capabilities,89.82
,,,,,,,,,,,Myanmar,2012,Lack of Adaptive Capacities,58.18
,,,,,,,,,,,Mozambique,2012,WRI,9.09
,,,,,,,,,,,Mozambique,2012,Exposure,12.73
,,,,,,,,,,,Mozambique,2012,Vulnerability,71.37
,,,,,,,,,,,Mozambique,2012,Susceptibility,67.63
,,,,,,,,,,,Mozambique,2012,Lack of Coping Capabilities,84.91
,,,,,,,,,,,Mozambique,2012,Lack of Adaptive Capacities,61.58
,,,,,,,,,,,Côte d'Ivoire,2012,WRI,9
,,,,,,,,,,,Côte d'Ivoire,2012,Exposure,13.67
,,,,,,,,,,,Côte d'Ivoire,2012,Vulnerability,65.84
,,,,,,,,,,,Côte d'Ivoire,2012,Susceptibility,47.34
,,,,,,,,,,,Côte d'Ivoire,2012,Lack of Coping Capabilities,88.55
,,,,,,,,,,,Côte d'Ivoire,2012,Lack of Adaptive Capacities,61.64
,,,,,,,,,,,Ghana,2012,WRI,8.85
,,,,,,,,,,,Ghana,2012,Exposure,14.48
,,,,,,,,,,,Ghana,2012,Vulnerability,61.12
,,,,,,,,,,,Ghana,2012,Susceptibility,47.12
,,,,,,,,,,,Ghana,2012,Lack of Coping Capabilities,79.06
,,,,,,,,,,,Ghana,2012,Lack of Adaptive Capacities,57.16
,,,,,,,,,,,Mali,2012,WRI,8.76
,,,,,,,,,,,Mali,2012,Exposure,12.55
,,,,,,,,,,,Mali,2012,Vulnerability,69.76
,,,,,,,,,,,Mali,2012,Susceptibility,56.57
,,,,,,,,,,,Mali,2012,Lack of Coping Capabilities,82.87
,,,,,,,,,,,Mali,2012,Lack of Adaptive Capacities,69.85
,,,,,,,,,,,Uzbekistan,2012,WRI,8.71
,,,,,,,,,,,Uzbekistan,2012,Exposure,16.18
,,,,,,,,,,,Uzbekistan,2012,Vulnerability,53.84
,,,,,,,,,,,Uzbekistan,2012,Susceptibility,32.33
,,,,,,,,,,,Uzbekistan,2012,Lack of Coping Capabilities,77.85
,,,,,,,,,,,Uzbekistan,2012,Lack of Adaptive Capacities,51.35
,,,,,,,,,,,Suriname,2012,WRI,8.62
,,,,,,,,,,,Suriname,2012,Exposure,18.12
,,,,,,,,,,,Suriname,2012,Vulnerability,47.6
,,,,,,,,,,,Suriname,2012,Susceptibility,30.01
,,,,,,,,,,,Suriname,2012,Lack of Coping Capabilities,73.27
,,,,,,,,,,,Suriname,2012,Lack of Adaptive Capacities,39.53
,,,,,,,,,,,Guinea,2012,WRI,8.55
,,,,,,,,,,,Guinea,2012,Exposure,12.03
,,,,,,,,,,,Guinea,2012,Vulnerability,71.05
,,,,,,,,,,,Guinea,2012,Susceptibility,58.08
,,,,,,,,,,,Guinea,2012,Lack of Coping Capabilities,90.16
,,,,,,,,,,,Guinea,2012,Lack of Adaptive Capacities,64.91
,,,,,,,,,,,Kyrgyzstan,2012,WRI,8.5
,,,,,,,,,,,Kyrgyzstan,2012,Exposure,16.63
,,,,,,,,,,,Kyrgyzstan,2012,Vulnerability,51.1
,,,,,,,,,,,Kyrgyzstan,2012,Susceptibility,27.54
,,,,,,,,,,,Kyrgyzstan,2012,Lack of Coping Capabilities,77.79
,,,,,,,,,,,Kyrgyzstan,2012,Lack of Adaptive Capacities,47.98
,,,,,,,,,,,Netherlands,2012,WRI,8.49
,,,,,,,,,,,Netherlands,2012,Exposure,30.57
,,,,,,,,,,,Netherlands,2012,Vulnerability,27.76
,,,,,,,,,,,Netherlands,2012,Susceptibility,13.89
,,,,,,,,,,,Netherlands,2012,Lack of Coping Capabilities,39.14
,,,,,,,,,,,Netherlands,2012,Lack of Adaptive Capacities,30.26
,,,,,,,,,,,Mauritania,2012,WRI,8.43
,,,,,,,,,,,Mauritania,2012,Exposure,12.47
,,,,,,,,,,,Mauritania,2012,Vulnerability,67.55
,,,,,,,,,,,Mauritania,2012,Susceptibility,49.04
,,,,,,,,,,,Mauritania,2012,Lack of Coping Capabilities,86.54
,,,,,,,,,,,Mauritania,2012,Lack of Adaptive Capacities,67.07
,,,,,,,,,,,Nigeria,2012,WRI,8.28
,,,,,,,,,,,Nigeria,2012,Exposure,12.06
,,,,,,,,,,,Nigeria,2012,Vulnerability,68.7
,,,,,,,,,,,Nigeria,2012,Susceptibility,55.46
,,,,,,,,,,,Nigeria,2012,Lack of Coping Capabilities,88
,,,,,,,,,,,Nigeria,2012,Lack of Adaptive Capacities,62.63
,,,,,,,,,,,Malawi,2012,WRI,8.18
,,,,,,,,,,,Malawi,2012,Exposure,12.34
,,,,,,,,,,,Malawi,2012,Vulnerability,66.25
,,,,,,,,,,,Malawi,2012,Susceptibility,56.28
,,,,,,,,,,,Malawi,2012,Lack of Coping Capabilities,85.31
,,,,,,,,,,,Malawi,2012,Lack of Adaptive Capacities,57.15
,,,,,,,,,,,Bhutan,2012,WRI,8.17
,,,,,,,,,,,Bhutan,2012,Exposure,14.81
,,,,,,,,,,,Bhutan,2012,Vulnerability,55.14
,,,,,,,,,,,Bhutan,2012,Susceptibility,35.06
,,,,,,,,,,,Bhutan,2012,Lack of Coping Capabilities,77.31
,,,,,,,,,,,Bhutan,2012,Lack of Adaptive Capacities,53.05
,,,,,,,,,,,Algeria,2012,WRI,8.15
,,,,,,,,,,,Algeria,2012,Exposure,15.82
,,,,,,,,,,,Algeria,2012,Vulnerability,51.48
,,,,,,,,,,,Algeria,2012,Susceptibility,22.5
,,,,,,,,,,,Algeria,2012,Lack of Coping Capabilities,78.46
,,,,,,,,,,,Algeria,2012,Lack of Adaptive Capacities,53.48
,,,,,,,,,,,Tanzania,2012,WRI,8.11
,,,,,,,,,,,Tanzania,2012,Exposure,12.01
,,,,,,,,,,,Tanzania,2012,Vulnerability,67.52
,,,,,,,,,,,Tanzania,2012,Susceptibility,67.34
,,,,,,,,,,,Tanzania,2012,Lack of Coping Capabilities,83.49
,,,,,,,,,,,Tanzania,2012,Lack of Adaptive Capacities,51.73
,,,,,,,,,,,Ecuador,2012,WRI,7.94
,,,,,,,,,,,Ecuador,2012,Exposure,16.15
,,,,,,,,,,,Ecuador,2012,Vulnerability,49.19
,,,,,,,,,,,Ecuador,2012,Susceptibility,26.8
,,,,,,,,,,,Ecuador,2012,Lack of Coping Capabilities,76.93
,,,,,,,,,,,Ecuador,2012,Lack of Adaptive Capacities,43.85
,,,,,,,,,,,Sudan,2012,WRI,7.88
,,,,,,,,,,,Sudan,2012,Exposure,11.86
,,,,,,,,,,,Sudan,2012,Vulnerability,66.45
,,,,,,,,,,,Sudan,2012,Susceptibility,52.44
,,,,,,,,,,,Sudan,2012,Lack of Coping Capabilities,91.7
,,,,,,,,,,,Sudan,2012,Lack of Adaptive Capacities,55.22
,,,,,,,,,,,Liberia,2012,WRI,7.86
,,,,,,,,,,,Liberia,2012,Exposure,10.96
,,,,,,,,,,,Liberia,2012,Vulnerability,71.74
,,,,,,,,,,,Liberia,2012,Susceptibility,65.11
,,,,,,,,,,,Liberia,2012,Lack of Coping Capabilities,85.88
,,,,,,,,,,,Liberia,2012,Lack of Adaptive Capacities,64.22
,,,,,,,,,,,eSwatini,2012,WRI,7.84
,,,,,,,,,,,eSwatini,2012,Exposure,12.76
,,,,,,,,,,,eSwatini,2012,Vulnerability,61.41
,,,,,,,,,,,eSwatini,2012,Susceptibility,47.48
,,,,,,,,,,,eSwatini,2012,Lack of Coping Capabilities,82.07
,,,,,,,,,,,eSwatini,2012,Lack of Adaptive Capacities,54.69
,,,,,,,,,,,Ethiopia,2012,WRI,7.81
,,,,,,,,,,,Ethiopia,2012,Exposure,11.12
,,,,,,,,,,,Ethiopia,2012,Vulnerability,70.21
,,,,,,,,,,,Ethiopia,2012,Susceptibility,58.93
,,,,,,,,,,,Ethiopia,2012,Lack of Coping Capabilities,88.34
,,,,,,,,,,,Ethiopia,2012,Lack of Adaptive Capacities,63.37
,,,,,,,,,,,Sri Lanka,2012,WRI,7.79
,,,,,,,,,,,Sri Lanka,2012,Exposure,14.79
,,,,,,,,,,,Sri Lanka,2012,Vulnerability,52.67
,,,,,,,,,,,Sri Lanka,2012,Susceptibility,28.28
,,,,,,,,,,,Sri Lanka,2012,Lack of Coping Capabilities,80.45
,,,,,,,,,,,Sri Lanka,2012,Lack of Adaptive Capacities,49.29
,,,,,,,,,,,Panama,2012,WRI,7.69
,,,,,,,,,,,Panama,2012,Exposure,16.45
,,,,,,,,,,,Panama,2012,Vulnerability,46.74
,,,,,,,,,,,Panama,2012,Susceptibility,29.46
,,,,,,,,,,,Panama,2012,Lack of Coping Capabilities,68.89
,,,,,,,,,,,Panama,2012,Lack of Adaptive Capacities,41.86
,,,,,,,,,,,Trinidad and Tobago,2012,WRI,7.68
,,,,,,,,,,,Trinidad and Tobago,2012,Exposure,17.54
,,,,,,,,,,,Trinidad and Tobago,2012,Vulnerability,43.77
,,,,,,,,,,,Trinidad and Tobago,2012,Susceptibility,18.87
,,,,,,,,,,,Trinidad and Tobago,2012,Lack of Coping Capabilities,70.58
,,,,,,,,,,,Trinidad and Tobago,2012,Lack of Adaptive Capacities,41.88
,,,,,,,,,,,Serbia,2012,WRI,7.67
,,,,,,,,,,,Serbia,2012,Exposure,18.05
,,,,,,,,,,,Serbia,2012,Vulnerability,42.52
,,,,,,,,,,,Serbia,2012,Susceptibility,18.77
,,,,,,,,,,,Serbia,2012,Lack of Coping Capabilities,68.33
,,,,,,,,,,,Serbia,2012,Lack of Adaptive Capacities,40.46
,,,,,,,,,,,Rwanda,2012,WRI,7.6
,,,,,,,,,,,Rwanda,2012,Exposure,11.98
,,,,,,,,,,,Rwanda,2012,Vulnerability,63.43
,,,,,,,,,,,Rwanda,2012,Susceptibility,58.47
,,,,,,,,,,,Rwanda,2012,Lack of Coping Capabilities,80.26
,,,,,,,,,,,Rwanda,2012,Lack of Adaptive Capacities,51.54
,,,,,,,,,,,Comoros,2012,WRI,7.45
,,,,,,,,,,,Comoros,2012,Exposure,10.97
,,,,,,,,,,,Comoros,2012,Vulnerability,67.91
,,,,,,,,,,,Comoros,2012,Susceptibility,56.7
,,,,,,,,,,,Comoros,2012,Lack of Coping Capabilities,83.73
,,,,,,,,,,,Comoros,2012,Lack of Adaptive Capacities,63.3
,,,,,,,,,,,Zambia,2012,WRI,7.44
,,,,,,,,,,,Zambia,2012,Exposure,11.37
,,,,,,,,,,,Zambia,2012,Vulnerability,65.46
,,,,,,,,,,,Zambia,2012,Susceptibility,61.81
,,,,,,,,,,,Zambia,2012,Lack of Coping Capabilities,81.26
,,,,,,,,,,,Zambia,2012,Lack of Adaptive Capacities,53.31
,,,,,,,,,,,Tajikistan,2012,WRI,7.4
,,,,,,,,,,,Tajikistan,2012,Exposure,12.98
,,,,,,,,,,,Tajikistan,2012,Vulnerability,56.99
,,,,,,,,,,,Tajikistan,2012,Susceptibility,37.25
,,,,,,,,,,,Tajikistan,2012,Lack of Coping Capabilities,76.31
,,,,,,,,,,,Tajikistan,2012,Lack of Adaptive Capacities,57.42
,,,,,,,,,,,Congo,2012,WRI,7.38
,,,,,,,,,,,Congo,2012,Exposure,11.65
,,,,,,,,,,,Congo,2012,Vulnerability,63.37
,,,,,,,,,,,Congo,2012,Susceptibility,52.14
,,,,,,,,,,,Congo,2012,Lack of Coping Capabilities,86.41
,,,,,,,,,,,Congo,2012,Lack of Adaptive Capacities,51.54
,,,,,,,,,,,Greece,2012,WRI,7.35
,,,,,,,,,,,Greece,2012,Exposure,21.11
,,,,,,,,,,,Greece,2012,Vulnerability,34.83
,,,,,,,,,,,Greece,2012,Susceptibility,16.55
,,,,,,,,,,,Greece,2012,Lack of Coping Capabilities,52.27
,,,,,,,,,,,Greece,2012,Lack of Adaptive Capacities,35.67
,,,,,,,,,,,India,2012,WRI,7.28
,,,,,,,,,,,India,2012,Exposure,11.94
,,,,,,,,,,,India,2012,Vulnerability,60.95
,,,,,,,,,,,India,2012,Susceptibility,40.88
,,,,,,,,,,,India,2012,Lack of Coping Capabilities,81.78
,,,,,,,,,,,India,2012,Lack of Adaptive Capacities,60.18
,,,,,,,,,,,Pakistan,2012,WRI,7.25
,,,,,,,,,,,Pakistan,2012,Exposure,11.36
,,,,,,,,,,,Pakistan,2012,Vulnerability,63.86
,,,,,,,,,,,Pakistan,2012,Susceptibility,38.84
,,,,,,,,,,,Pakistan,2012,Lack of Coping Capabilities,87.39
,,,,,,,,,,,Pakistan,2012,Lack of Adaptive Capacities,65.35
,,,,,,,,,,,Lesotho,2012,WRI,7.22
,,,,,,,,,,,Lesotho,2012,Exposure,11.4
,,,,,,,,,,,Lesotho,2012,Vulnerability,63.33
,,,,,,,,,,,Lesotho,2012,Susceptibility,50.87
,,,,,,,,,,,Lesotho,2012,Lack of Coping Capabilities,81.83
,,,,,,,,,,,Lesotho,2012,Lack of Adaptive Capacities,57.3
,,,,,,,,,,,Morocco,2012,WRI,7.21
,,,,,,,,,,,Morocco,2012,Exposure,13.25
,,,,,,,,,,,Morocco,2012,Vulnerability,54.45
,,,,,,,,,,,Morocco,2012,Susceptibility,29.07
,,,,,,,,,,,Morocco,2012,Lack of Coping Capabilities,76.42
,,,,,,,,,,,Morocco,2012,Lack of Adaptive Capacities,57.86
,,,,,,,,,,,Peru,2012,WRI,7.18
,,,,,,,,,,,Peru,2012,Exposure,14.4
,,,,,,,,,,,Peru,2012,Vulnerability,49.84
,,,,,,,,,,,Peru,2012,Susceptibility,30.81
,,,,,,,,,,,Peru,2012,Lack of Coping Capabilities,74.93
,,,,,,,,,,,Peru,2012,Lack of Adaptive Capacities,43.77
,,,,,,,,,,,China,2012,WRI,7.05
,,,,,,,,,,,China,2012,Exposure,14.43
,,,,,,,,,,,China,2012,Vulnerability,48.83
,,,,,,,,,,,China,2012,Susceptibility,28.58
,,,,,,,,,,,China,2012,Lack of Coping Capabilities,71.53
,,,,,,,,,,,China,2012,Lack of Adaptive Capacities,46.39
,,,,,,,,,,,Armenia,2012,WRI,7.04
,,,,,,,,,,,Armenia,2012,Exposure,14.51
,,,,,,,,,,,Armenia,2012,Vulnerability,48.49
,,,,,,,,,,,Armenia,2012,Susceptibility,24.02
,,,,,,,,,,,Armenia,2012,Lack of Coping Capabilities,70.95
,,,,,,,,,,,Armenia,2012,Lack of Adaptive Capacities,50.51
,,,,,,,,,,,Kenya,2012,WRI,6.96
,,,,,,,,,,,Kenya,2012,Exposure,10.69
,,,,,,,,,,,Kenya,2012,Vulnerability,65.09
,,,,,,,,,,,Kenya,2012,Susceptibility,52.9
,,,,,,,,,,,Kenya,2012,Lack of Coping Capabilities,86.56
,,,,,,,,,,,Kenya,2012,Lack of Adaptive Capacities,55.8
,,,,,,,,,,,Colombia,2012,WRI,6.89
,,,,,,,,,,,Colombia,2012,Exposure,13.84
,,,,,,,,,,,Colombia,2012,Vulnerability,49.8
,,,,,,,,,,,Colombia,2012,Susceptibility,29.73
,,,,,,,,,,,Colombia,2012,Lack of Coping Capabilities,76.89
,,,,,,,,,,,Colombia,2012,Lack of Adaptive Capacities,42.76
,,,,,,,,,,,Romania,2012,WRI,6.78
,,,,,,,,,,,Romania,2012,Exposure,15.77
,,,,,,,,,,,Romania,2012,Vulnerability,42.99
,,,,,,,,,,,Romania,2012,Susceptibility,22.06
,,,,,,,,,,,Romania,2012,Lack of Coping Capabilities,63.95
,,,,,,,,,,,Romania,2012,Lack of Adaptive Capacities,42.95
,,,,,,,,,,,Uganda,2012,WRI,6.75
,,,,,,,,,,,Uganda,2012,Exposure,10.16
,,,,,,,,,,,Uganda,2012,Vulnerability,66.43
,,,,,,,,,,,Uganda,2012,Susceptibility,56.61
,,,,,,,,,,,Uganda,2012,Lack of Coping Capabilities,88.11
,,,,,,,,,,,Uganda,2012,Lack of Adaptive Capacities,54.59
,,,,,,,,,,,Georgia,2012,WRI,6.75
,,,,,,,,,,,Georgia,2012,Exposure,14.69
,,,,,,,,,,,Georgia,2012,Vulnerability,45.94
